competitor-type,db-file,config,mode,num-threads,query,latency (s),extra-optimization-time (ns)
rpt,imdb,rpt,hot,1,8a,1.043481,
rpt,imdb,rpt,hot,1,18c,1.727076,
rpt,imdb,rpt,hot,1,33a,0.457874,
rpt,imdb,rpt,hot,1,2c,0.068742,
rpt,imdb,rpt,hot,1,30c,1.879051,
rpt,imdb,rpt,hot,1,30b,1.640134,
rpt,imdb,rpt,hot,1,5b,0.543714,
rpt,imdb,rpt,hot,1,6f,1.052416,
rpt,imdb,rpt,hot,1,16b,2.206707,
rpt,imdb,rpt,hot,1,11d,0.604919,
rpt,imdb,rpt,hot,1,16a,0.517554,
rpt,imdb,rpt,hot,1,3c,0.879948,
rpt,imdb,rpt,hot,1,11b,0.258992,
rpt,imdb,rpt,hot,1,10a,1.248241,
rpt,imdb,rpt,hot,1,12c,0.585393,
rpt,imdb,rpt,hot,1,29c,1.841306,
rpt,imdb,rpt,hot,1,5c,0.950813,
rpt,imdb,rpt,hot,1,28b,0.711563,
rpt,imdb,rpt,hot,1,26a,1.147148,
rpt,imdb,rpt,hot,1,18a,1.2819,
rpt,imdb,rpt,hot,1,24b,1.745185,
rpt,imdb,rpt,hot,1,4c,0.274844,
rpt,imdb,rpt,hot,1,25b,1.57531,
rpt,imdb,rpt,hot,1,6a,0.674463,
rpt,imdb,rpt,hot,1,5a,0.86576,
rpt,imdb,rpt,hot,1,20b,0.955127,
rpt,imdb,rpt,hot,1,12a,0.518356,
rpt,imdb,rpt,hot,1,31c,1.925412,
rpt,imdb,rpt,hot,1,17d,0.596352,
rpt,imdb,rpt,hot,1,26c,0.86912,
rpt,imdb,rpt,hot,1,31b,1.755392,
rpt,imdb,rpt,hot,1,17e,1.102983,
