competitor-type,db-file,config,mode,num-threads,query,latency (s),#made-it,extra-optimization-time (ns)
rpt,imdb,rpt,hot,1,26a,1.079182,114010,
rpt,imdb,rpt,hot,1,18a,1.39253,12880,
rpt,imdb,rpt,hot,1,24b,1.743326,408,
rpt,imdb,rpt,hot,1,4c,0.292277,59648,
rpt,imdb,rpt,hot,1,25b,1.635959,11626,
rpt,imdb,rpt,hot,1,6a,0.678197,96,
rpt,imdb,rpt,hot,1,5a,0.874709,0,
rpt,imdb,rpt,hot,1,20b,0.954993,64,
rpt,imdb,rpt,hot,1,12a,0.522873,14736,
rpt,imdb,rpt,hot,1,31c,1.941507,59768,
rpt,imdb,rpt,hot,1,17d,0.59683,162370,
rpt,imdb,rpt,hot,1,26c,0.909217,119875,
rpt,imdb,rpt,hot,1,31b,1.76992,37718,
rpt,imdb,rpt,hot,1,17e,1.151761,2141825,
